# YTID,start_seconds,end_seconds,event_label
-6RN8skIHU4,20.0,30.0,['Camera']
-6x2PtSRfJU,30.0,40.0,['Meow']
-9ek6eO0RtI,260.0,270.0,['Doorbell']
-Dtir74TiUM,40.0,50.0,['Scratching_(performance technique)']
-FT5MbWPCzg,540.0,550.0,['Church_bell']
-Sclnq22t7o,30.0,40.0,['Burping_and_eructation']
-gStrDahsjU,20.0,30.0,['Doorbell']
-m5ZlWziIeA,200.0,210.0,['Scratching_(performance technique)']
-mQR-O53mFE,100.0,110.0,['Cheering']
-mlRMOia7DU,70.0,80.0,['Camera']
-r1H8hBeYmw,21.0,31.0,['Meow']
-ysNtKG8FlU,30.0,40.0,['Meow']
02JEvDAcq7U,10.0,20.0,['Doorbell']
02QXbqf9bbw,350.0,360.0,['Camera']
0H2uMhzSitY,520.0,530.0,['Shatter']
0NyrNJAXrIo,30.0,40.0,['Meow']
0SEHGxAQL18,30.0,40.0,['Meow']
0VwX92X3iPc,30.0,40.0,['Scratching_(performance technique)']
0_utuoBWKmo,17.0,27.0,['Meow']
0abfTrxjX-4,30.0,40.0,['Meow']
0ehwxbvn3d0,320.0,330.0,['Shout']
0eymuxOpj8s,140.0,150.0,['Camera']
0f2A-lZYAnw,30.0,40.0,['Meow']
0hrpu0UHkVw,260.0,270.0,['Cheering']
0iNkEzDn2ys,580.0,590.0,['Shout']
0jFN112eGVQ,21.0,31.0,['Meow']
0pJwADdUrRo,30.0,40.0,['Meow']
0qZ3tI4nAZE,6.0,16.0,['Meow']
0wLyVkC2mqA,210.0,220.0,['Cheering']
10mtAupS0I4,0.0,10.0,['Meow']
19tPF3TY3g0,30.0,40.0,['Burping_and_eructation']
1G3TdBrW7ys,30.0,40.0,['Meow']
1GCOnj53QYM,0.0,10.0,['Scratching_(performance technique)']
1LA64TXatWk,30.0,40.0,['Scratching_(performance technique)']
1Oy7Yha8LOg,30.0,40.0,['Meow']
1PK0s_W9hkM,0.0,10.0,['Shatter']
1PajbAKd8Kg,0.0,10.0,['Cough']
1Z19W2GRX2s,70.0,80.0,['Cheering']
1ZkHnqQt9KI,320.0,330.0,['Shout']
1e3_ucOz0Ik,20.0,30.0,['Cough']
1jc3YPwYfC4,220.0,230.0,['Cough']
1kjnqM-ptrk,110.0,120.0,['Shatter']
1lBl4WXrFxE,30.0,40.0,['Meow']
2-RBVkZKJ54,50.0,60.0,['Cheering']
2Aojn4ltkP0,30.0,40.0,['Shout']
2CMVqo7dIZU,20.0,30.0,['Shatter']
2E0OsrYbzAI,10.0,20.0,['Fireworks']
2I2IzXnhmtc,120.0,130.0,['Cough']
2MGsPzzb4yA,30.0,40.0,['Cheering']
2NuMifM0Uio,10.0,20.0,['Shatter']
2Ui85-AOLyo,30.0,40.0,['Scratching_(performance technique)']
2ZfwEg4JaiU,0.0,10.0,['Cough']
2aUWpuKZ-GQ,0.0,10.0,['Doorbell']
2fmJC4oVkmo,50.0,60.0,['Shout']
2je_d-3I0OY,60.0,70.0,['Shatter']
2mJbGx5D-zA,150.0,160.0,['Bark']
386I9SMtAGc,0.0,10.0,['Fireworks']
3HaqTs1_Exg,30.0,40.0,['Meow']
3LgtHjcwPyE,60.0,70.0,['Burping_and_eructation']
3MC74V1HHOo,100.0,110.0,['Burping_and_eructation']
3QibDiritdU,120.0,130.0,['Shatter']
3SfslfDi7W8,0.0,10.0,['Shout']
3UAvkNVtoak,10.0,20.0,['Shatter']
3Z0Gl7RHThc,280.0,290.0,['Shatter']
3oX-QGFNYTg,20.0,30.0,['Fireworks']
3ouVmTU1BXs,140.0,150.0,['Burping_and_eructation']
3pv0kmrezHI,80.0,90.0,['Cheering']
3rmsgqvn-7g,10.0,20.0,['Meow']
3vaGGiJrE2k,30.0,40.0,['Doorbell']
3xCWI_22Z9A,50.0,60.0,['Bark']
4AZPDLhB--g,60.0,70.0,['Cheering']
