# YTID,start_seconds,end_seconds,event_label
--LGvpWGBAI,30.0,40.0,['Cheering']
--sIMPsphRI,10.0,20.0,['Bark']
-06IiayZAEs,10.0,20.0,['Cheering']
-0GUZ96grb4,150.0,160.0,['Scratching_(performance technique)']
-13SMcnXucA,430.0,440.0,['Church_bell']
-1AFJlxFF5o,30.0,40.0,['Cheering']
-1Hu_O-dosg,30.0,40.0,['Fireworks']
-1KAjPp2-Vc,120.0,130.0,['Bark']
-1XucGQTidc,0.0,10.0,['Cheering']
-1zGTyKQnvw,510.0,520.0,['Cheering']
-2--Xzix2Vk,0.0,7.0,['Meow']
-2BR7sVLPCE,13.0,23.0,['Meow']
-2mQXzsDhbY,0.0,10.0,['Shatter']
-2mRLePOj4c,20.0,30.0,['Burping_and_eructation']
-2zcq-oUhQ4,200.0,210.0,['Scratching_(performance technique)']
-37X0bRVT0g,140.0,150.0,['Bark']
-3BdxOeYqIQ,0.0,10.0,['Burping_and_eructation']
-3E36nmSffc,16.0,26.0,['Meow']
-3dx1MH0Wbo,120.0,130.0,['Scratching_(performance technique)']
-3nUM6ZBUOY,30.0,40.0,['Scratching_(performance technique)']
-3qGCm_qUwU,50.0,60.0,['Cheering']
-3qVzrEZ8l0,30.0,40.0,['Meow']
-45BHWgbs08,30.0,40.0,['Cheering']
-46xqouqMxA,6.0,16.0,['Meow']
-49HTaaNAjk,10.0,20.0,['Bark']
-4Ihd9_fGnw,460.0,470.0,['Cheering']
-4cbFBwZMSw,0.0,10.0,['Scratching_(performance technique)']
-4o0jRbgHr4,30.0,40.0,['Meow']
-4sst_mzg2w,23.0,33.0,['Meow']
-55UGnqZsOo,8.0,18.0,['Meow']
-5q8Wh2H8fw,22.0,32.0,['Meow']
-5qzWUgsszA,540.0,550.0,['Fireworks']
-5rnGk2e1ao,0.0,10.0,['Bark']
-60bBlFvY4U,190.0,200.0,['Cheering']
-68677bCJWM,16.0,26.0,['Meow']
-6AI7N3jDVs,300.0,310.0,['Fireworks']
-6KN5x9rpwo,50.0,60.0,['Camera']
-6bTvuXsIXI,30.0,40.0,['Cheering']
-6gxzS2ydY4,100.0,110.0,['Fireworks']
-6p32k2WUCs,0.0,10.0,['Doorbell']
-6ylSbBDnBo,30.0,40.0,['Cheering']
-71Sh7BGYu8,250.0,260.0,['Church_bell']
-79-Z12DW1w,30.0,40.0,['Cheering']
-7GD82GxQzw,30.0,40.0,['Meow']
-7GwHMPKRtg,30.0,40.0,['Meow']
-7SNH8SUM0I,30.0,40.0,['Meow']
-7T1vQ2CgdQ,10.0,20.0,['Bark']
-7TSyE66q70,90.0,100.0,['Scratching_(performance technique)']
-7Y8Cmjdvuk,20.0,30.0,['Bark']
-7prSwkSezc,50.0,60.0,['Cheering']
-7x3M4faMEs,0.0,5.0,['Meow']
-84CyEpynsY,10.0,20.0,['Bark']
-8F8gzxrAlk,70.0,80.0,['Shout']
-8LGxhxYTfI,10.0,20.0,['Cheering']
-8buqxazv8s,0.0,10.0,['Cheering']
-9P1IlNEgsM,0.0,8.0,['Bark']
-9WmXSv1zeY,30.0,40.0,['Burping_and_eructation']
-9YohOxYZ0Q,10.0,20.0,['Bark']
-9b-N3vQj2k,30.0,40.0,['Cheering']
-9izu74FtZo,30.0,40.0,['Scratching_(performance technique)']
-9xWi6JZmYU,240.0,250.0,['Church_bell']
-A8y9VviC8M,510.0,520.0,['Fireworks']
-AGOo7oqPgI,8.0,18.0,['Meow']
-AWooU1PDiM,70.0,80.0,['Bark']
-AlpLvWoLKs,30.0,40.0,['Cheering']
-B4Jy1THLeU,90.0,100.0,['Church_bell']
-BJNMHMZDcU,50.0,60.0,"['Doorbell', 'Bark']"
-BYRsOH220c,20.0,30.0,['Fireworks']
-Bnctvh_6uc,18.0,28.0,['Meow']
-BxGYQqm2Es,3.0,13.0,['Scratching_(performance technique)']
-C3rY_2gfA8,30.0,40.0,['Burping_and_eructation']
-C8Y6MNFb_g,470.0,480.0,['Fireworks']
-CJGj3-kNQY,50.0,60.0,['Cheering']
-CTjJMJgs7k,30.0,40.0,['Burping_and_eructation']
-CbMvN47er0,40.0,50.0,['Shout']
-CeD_iol6Hg,30.0,40.0,['Meow']
-Ctr9bkgYpE,20.0,30.0,"['Cheering', 'Shout']"
-CzAjJI8PbA,12.0,22.0,['Meow']
-D9ssu55Beo,200.0,210.0,['Cheering']
-DFbUZLOaMA,40.0,50.0,['Fireworks']
-DhyXRriyNE,560.0,570.0,['Scratching_(performance technique)']
-DnrNt9gBJs,30.0,40.0,['Meow']
-EM6qEqk_H0,10.0,20.0,['Bark']
-EXGVV11btY,340.0,350.0,['Church_bell']
-E_DO6q-0kc,210.0,220.0,['Cheering']
-EghMxwwys4,320.0,330.0,['Scratching_(performance technique)']
-Ejdbj6I2W4,0.0,10.0,['Fireworks']
-Er1JFdO4Hc,1.0,11.0,['Meow']
-EwUDjQP0dw,140.0,150.0,['Fireworks']
-F9ztnmCMGE,30.0,40.0,['Scratching_(performance technique)']
-FL784R2DJk,21.0,31.0,['Meow']
-FXIpbWJgVc,20.0,30.0,['Scratching_(performance technique)']
-F_xGzgytrY,180.0,190.0,['Cheering']
-FtSMKhI2FA,60.0,70.0,['Cheering']
-Fyb0KlZxOc,90.0,100.0,['Cheering']
-G1Y835xHDE,10.0,20.0,['Scratching_(performance technique)']
-GERSENU7I4,1.0,11.0,['Meow']
-GJOTyij90U,90.0,100.0,['Cheering']
-Gg_41OZ_X4,580.0,590.0,['Fireworks']
-GpY_7QJZoc,15.0,25.0,['Meow']
-H8_vUeUe9Y,190.0,200.0,['Shatter']
-HJxeIFmUd0,30.0,40.0,['Meow']
-HLkaa5GCFg,20.0,30.0,['Bark']
-Hnh9w9tKHQ,30.0,40.0,['Meow']
-HpLnN-W4KU,30.0,40.0,['Cheering']
-I1upuU0HXs,16.0,26.0,['Meow']
-I2wwE7WFOU,24.0,34.0,['Meow']
-IHTxGRyHC0,18.0,28.0,['Burping_and_eructation']
-II4AmLB-D4,83.0,93.0,['Cheering']
-IY02Wq8YnA,290.0,300.0,['Cheering']
-IgQ4BYBLhc,0.0,10.0,['Fireworks']
-Iq-OpawOWE,14.0,24.0,['Fireworks']
-IqjVd6nmWY,130.0,140.0,['Cheering']
-Its_5qrHs8,30.0,40.0,['Bark']
-J2WJaG1Dd4,30.0,40.0,['Church_bell']
-J91N-o_ToQ,200.0,210.0,['Cheering']
-JJm_esdRt0,160.0,170.0,['Shout']
-JZ0uT_7kX4,30.0,40.0,['Cheering']
-K4YNOAqf9E,30.0,40.0,['Meow']
-KKQWNN18dE,260.0,270.0,['Fireworks']
-Kgp-yJpJrA,0.0,8.0,['Burping_and_eructation']
-KkQYPpJv5g,260.0,270.0,['Scratching_(performance technique)']
-KmqagJg6lM,30.0,40.0,['Cheering']
-L5G1KuEvPs,30.0,40.0,['Fireworks']
-LAbceVRmwI,190.0,200.0,['Shout']
-LBHWlaxWHc,30.0,40.0,['Fireworks']
-LKvu9q54f0,0.0,10.0,['Bark']
-LS-JevBX3E,30.0,40.0,['Meow']
-LWu_lirwKk,0.0,10.0,['Bark']
-LjSlTMvYkk,390.0,400.0,['Fireworks']
-Ln9HQ6lLtI,50.0,60.0,['Meow']
-MBivbS4-m8,10.0,20.0,['Cheering']
-MDz2feRmOU,10.0,20.0,['Cheering']
-MJ1Vr7l84w,0.0,10.0,['Bark']
-Mdd8ysxJ5c,10.0,20.0,['Cough']
-Mfciaoal0U,0.0,9.0,['Meow']
-MlnT8YGbPY,30.0,40.0,['Meow']
-N2-lx8ToAY,0.0,8.0,['Meow']
-NOsBnC55CY,50.0,60.0,['Scratching_(performance technique)']
-NPu34as_OY,7.0,17.0,['Meow']
-Nku2Rts9wE,10.0,20.0,['Cheering']
-NsC63dA01g,10.0,20.0,['Meow']
-NtQYNr2qHA,30.0,40.0,['Cheering']
-Nv4YKl4AIc,30.0,40.0,['Cheering']
-NvSFQGFI0k,20.0,30.0,['Cheering']
-Nw7avrU6VM,0.0,2.0,['Burping_and_eructation']
-O3DGJStrJU,0.0,10.0,['Cheering']
-O7Du6Gx49U,60.0,70.0,['Shout']
-OBDFmzhD8Y,30.0,40.0,['Meow']
-OChLdShE-Y,30.0,40.0,['Fireworks']
-OJKZqB90j4,20.0,30.0,['Cheering']
-OUUhJE87mE,300.0,310.0,['Scratching_(performance technique)']
-OanE09iAA4,0.0,10.0,['Cough']
-P6nEMyReaE,30.0,40.0,['Bark']
-PS8jNn0Vqk,430.0,440.0,['Shout']
-PVOPc31MCY,20.0,30.0,['Cheering']
-PYurgoY6EE,400.0,410.0,['Shatter']
-PaEEZbxWlw,10.0,20.0,['Cheering']
-PtCTiOQOEs,30.0,40.0,['Burping_and_eructation']
